title,url
[기숙사] 2025학년도 2학기 추가합격자(8차) 기숙사비 납부 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36625
[기숙사] 2025-2학기 새날관 행복기숙사 재학생 입사 안내(8차 추...,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36624
[기숙사] 2025학년도 2학기 추가합격자(7차) 기숙사비 납부 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36618
[기숙사] 2025-2학기 새날관 행복기숙사 재학생 입사 안내(7차 추...,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36617
[기숙사] 전기안전점검에 따른 기숙사 정전 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36613
[구내식당] 2025학년도 1학기 현금영수증 취소 신청자의 식비 환불 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36612
[기숙사] 2025학년도 2학기 추가합격자(6차) 기숙사비 납부 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36611
[기숙사] 2025-2학기 새날관 행복기숙사 재학생 입사 안내(6차 추...,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36610
[기숙사] 2025년 8월 행복기숙사 진행사항 알림,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36607
[기숙사] 행복기숙사 호실내 공유기 사용 방법 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36606
[기숙사] 2025학년도 2학기 행복기숙사 시설민원 신청 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36605
[기숙사] 2025학년도 2학기 추가합격자(5차) 기숙사비 납부 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36602
[기숙사] 2025-2학기 새날관 행복기숙사 재학생 입사 안내(5차 추...,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36601
[기숙사] 2025학년도 2학기 추가합격자(4차) 기숙사비 납부 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36597
[기숙사] 2025-2학기 새날관 행복기숙사 재학생 입사 안내(4차 추...,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36596
[기숙사] 2025학년도 2학기 추가합격자(3차) 기숙사비 납부 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36595
[기숙사] 2025-2학기 새날관 행복기숙사 재학생 입사 안내(3차 추...,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36594
[기숙사] 2025학년도 2학기 행복기숙사 입사취소 방법 및 규정 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36589
[기숙사] 2025학년도 2학기 추가합격자(2차) 기숙사비 납부 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36588
[기숙사] 2025-2학기 새날관 행복기숙사 재학생 입사 안내(2차 추...,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36587
[구내식당] 2025년 1학기 기숙사 식당 현금영수증 발급자 중 식권 ...,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36585
[구내식당] 2025년 8월 햄버거 이벤트<종료>,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36584
[기숙사] 2025학년도 2학기 추가합격자(1차) 기숙사비 납부 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36579
[기숙사] 2025-2학기 새날관 행복기숙사 재학생 입사 안내(1차 추...,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36578
[총학생회] 기숙사 퇴사자 물품보관 서비스 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36577
[구내식당] 2025년 7월 식권 교환 이벤트<종료>,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36576
[생활지도실] 2025-1학기 기숙사 전체 입사자 정기퇴사 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36575
[기숙사] 2025학년도 2학기 입사 합격자 기숙사비 납부 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36574
[구내식당] 2025-1학기 구내식당 모니터링단 정기회의(2차) 결과보고,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36572
[생활지도실] 기숙사 내 리필스테이션 설치 및 사용 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36570
[구내식당] 2025년 7월 특식 사전 예약 안내<종료>,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36569
[기숙사] 2025-2학기 새날관 행복기숙사 재학생 입사 안내(내국인),https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36565
[기숙사] 2025년 1학기 행복기숙사 입주생 의견수렴(설문) 참여 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36563
[행정실] 2025년 7월 행정실 휴무,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36560
[구내식당] 2025년 7월 구내식당 일정 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36553
[구내식당] 2025년 7~8월 식권 생성 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36550
[구내식당] 2025년 6월 미사용 식권 교환 이벤트(1차),https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36537
[종료] 2025년 6월 특식 사전 예약 안내,https://happydorm.sejong.ac.kr/60/6010.do?bbsId=36536
